"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"83","Mahjong","None","Tile Game","Intermediate to Advanced","A game of skill, strategy, and calculation using a set of 144 tiles based on Chinese characters and symbols.","4","12+","1-2 hours","Mahjong tiles; Scoring sticks or chips","Build a winning hand by drawing and discarding tiles.","Pattern recognition; Strategy; Memory","10 minutes","Tabletop","Low","Enhances memory, strategy, and cultural appreciation","Indoor Games"
"84","Twister","None","Party Game","Beginner","A game where players place their hands and feet on colored circles according to a spinner's instructions without falling.","4","6+","10-30 minutes","Twister mat; Spinner","Be the last player remaining without falling over.","Flexibility; Balance; Coordination","2 minutes","Open floor space","Moderate","Promotes physical activity and coordination","Indoor Games"
"85","Codenames","None","Word Game","Beginner to Intermediate","Two teams compete to see who can make contact with all their agents first using one-word clues.","8","14+","15-30 minutes","Codenames cards","Correctly guess all your team's words based on the spymaster's clues.","Word association; Teamwork; Strategic thinking","5 minutes","Tabletop","Low","Enhances vocabulary and team communication","Indoor Games"
"86","Uno","None","Card Game","Beginner","A shedding-type card game where players aim to be the first to play all their cards.","10","7+","30 minutes","Uno card deck","Be the first player to play all your cards.","Matching; Strategic play; Color and number recognition","2 minutes","Tabletop","Low","Improves color and number recognition, strategic thinking","Indoor Games"
"87","Backgammon","None","Board Game","Intermediate","A two-player game combining strategy and luck where players move pieces according to the roll of dice.","2","10+","30-60 minutes","Backgammon board; Checkers; Dice","Move all your checkers off the board before your opponent.","Strategic planning; Probability; Counting","5 minutes","Tabletop","Low","Enhances strategic thinking and probability assessment","Indoor Games"
"88","Checkers","Draughts","Board Game","Beginner","A strategy game where players move pieces diagonally to capture opponent pieces by jumping over them.","2","6+","10-30 minutes","Checkers board; 24 playing pieces","Capture all of the opponent's pieces or block them from moving.","Strategic planning; Forward thinking; Patience","2 minutes","Tabletop","Low","Develops strategic thinking and planning skills","Indoor Games"
"89","Operation","None","Dexterity Game","Beginner","A game where players remove ailments from a patient without touching the edges of the cavities.","6","6+","10-20 minutes","Operation game set","Remove all ailments without setting off the buzzer.","Fine motor skills; Concentration; Patience","2 minutes","Tabletop","Low","Enhances hand-eye coordination and fine motor skills","Indoor Games"
"90","Mancala","None","Strategy Game","Beginner to Intermediate","A two-player game where players sow and capture seeds based on counts in holes on the board.","2","6+","15-30 minutes","Mancala board; 48 stones or seeds","Capture more stones than your opponent.","Counting; Strategic planning; Forward thinking","2 minutes","Tabletop","Low","Improves counting skills and strategic planning","Indoor Games"
"91","Laser Tag","None","Electronic Game","Beginner to Advanced","Players use infrared-emitting light guns to tag targets worn by other players.","Unlimited","8+","Variable","Laser tag guns; Sensor vests; Arena","Score points by tagging opponents while avoiding being tagged.","Teamwork; Strategy; Physical fitness","10 minutes","Laser tag arena","Moderate to High","Promotes teamwork, strategy, and physical activity","Indoor Games"
"92","Escape Room","None","Puzzle Game","Beginner to Advanced","A physical adventure game where players solve puzzles and riddles to escape from a locked room.","10","12+","1 hour","Themed room; Puzzles; Locks","Escape the room within the time limit by solving all puzzles.","Problem-solving; Teamwork; Critical thinking","15 minutes","Escape room venue","Low","Enhances problem-solving skills and teamwork","Indoor Games"
"93","Spoons","None","Card Game","Beginner","A fast-paced game where players pass cards to collect four of a kind and grab a spoon before others do.","13","7+","10-20 minutes","Standard deck of cards; Spoons (one fewer than the number of players)","Be the last player to avoid elimination by grabbing a spoon.","Observation; Speed; Coordination","2 minutes","Tabletop","Moderate","Improves quick thinking and reflexes","Indoor Games"
"94","Murder Mystery Party","None","Party Game","Intermediate","Players take on roles to solve a fictional murder case during a party.","20","16+","2-3 hours","Murder mystery kit; Costumes (optional)","Determine who among the players is the murderer.","Deduction; Role-playing; Social interaction","30 minutes","Living room or event space","Low","Enhances deductive reasoning and social skills","Indoor Games"
"95","Risk","None","Board Game","Intermediate to Advanced","A strategy game of diplomacy and conquest where players control armies to conquer territories.","6","10+","2-4 hours","Risk game board; Army tokens; Dice; Cards","Conquer all territories on the board.","Strategic planning; Negotiation; Risk assessment","10 minutes","Tabletop","Low","Develops strategic thinking and negotiation skills","Indoor Games"
"96","Settlers of Catan","Catan","Board Game","Intermediate","Players collect resources and build settlements to earn victory points.","4","10+","1-2 hours","Catan game board; Resource cards; Tokens; Dice","Be the first to reach a set number of victory points.","Resource management; Strategy; Negotiation","10 minutes","Tabletop","Low","Enhances strategic planning and resource management skills","Indoor Games"
"97","Yahtzee","None","Dice Game","Beginner","Players roll five dice to make certain combinations and score points.","Unlimited","8+","30 minutes","Five dice; Scorecards; Pen","Score the most points by rolling specific dice combinations.","Probability; Strategic decision-making; Counting","2 minutes","Tabletop","Low","Improves understanding of probability and strategic choices","Indoor Games"
"98","Bingo","None","Game of Chance","Beginner","Players mark off numbers on cards as they are randomly drawn and called out.","Unlimited","6+","Variable","Bingo cards; Number tokens; Marker","Be the first to complete a specified pattern on your card.","Number recognition; Listening; Patience","5 minutes","Community hall; Classroom","Low","Enhances number recognition and listening skills","Indoor Games"
"99","Apples to Apples","None","Party Game","Beginner","Players match red apple cards (nouns) to green apple cards (adjectives) and judge the best match.","10","12+","30-60 minutes","Apples to Apples card sets","Win the most rounds by having your card chosen as the best match.","Creative thinking; Humor; Social interaction","2 minutes","Tabletop","Low","Encourages creativity and social engagement","Indoor Games"
"100","Aerobics","None","Gym Activity","Beginner to Advanced","A form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines.","Unlimited","12+","30-60 minutes","Exercise mat; Aerobic step; Music","Improve cardiovascular health and overall fitness.","Endurance; Coordination; Flexibility","10 minutes","Gym or fitness studio","Moderate to High","Enhances cardiovascular health, coordination, and flexibility","Indoor Games"
"101","Yoga","None","Gym Activity","Beginner to Advanced","A group of physical, mental, and spiritual practices aimed at improving flexibility, strength, and mindfulness.","Unlimited","6+","30-90 minutes","Yoga mat; Blocks; Straps","Achieve physical and mental well-being through poses and breathing techniques.","Flexibility; Balance; Mindfulness","5 minutes","Yoga studio or quiet space","Low to Moderate","Improves flexibility, balance, and reduces stress","Indoor Games"
"102","Pilates","None","Gym Activity","Beginner to Advanced","A physical fitness system that focuses on core strength, posture, and flexibility.","Unlimited","12+","45-60 minutes","Exercise mat; Pilates ball; Resistance bands","Strengthen core muscles and improve posture.","Core strength; Flexibility; Posture","5 minutes","Pilates studio or gym","Low to Moderate","Enhances core strength, flexibility, and body alignment","Indoor Games"
"103","Indoor Cycling","Spin Class","Gym Activity","Beginner to Advanced","A form of exercise with classes focusing on endurance, strength, intervals, and high-intensity training using stationary bikes.","Unlimited","14+","30-60 minutes","Stationary bike; Towel; Water bottle","Improve cardiovascular fitness and leg strength.","Endurance; Leg strength; Cardiovascular health","5 minutes","Cycling studio or gym","High","Boosts cardiovascular health and leg muscle endurance","Indoor Games"
